trades,sessions,trade_rate,win_rate,avg_r,median_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,sharpe,t_stat_r,pct_long,long_avg_r,short_avg_r,pct_entry_gapped,avg_hold_min,exit_stop,exit_target,exit_time,leg,label,or_minutes,entry_cutoff,time_exit,target_r,direction,split
491,516,0.9515503875968992,0.4317718940936864,-0.008894283905291914,-0.3742857142857143,-36.71588594704684,-18027.5,0.9402934406411976,-44810.0,-0.37951461064854836,-0.1754415969073739,0.539714867617108,-0.011430829209410366,-0.005920016181436244,0.0,209.75967413441956,0.4439918533604888,0.15071283095723015,0.3788187372708758,ES,OR30m/cut1100/exit1559/2R/both/follow,30,11:00,15:59,2.0,both,full
316,332,0.9518072289156626,0.4240506329113924,0.028642899502497866,-0.40729339332228276,10.949367088607595,3460.0,1.0187401830688403,-29007.5,0.11272844280783266,0.4337040455652645,0.5348101265822784,0.017965730528633896,0.0409180121323143,0.0,205.26582278481013,0.4588607594936709,0.17721518987341772,0.33544303797468356,ES,OR30m/cut1100/exit1559/2R/both/follow,30,11:00,15:59,2.0,both,IS
175,184,0.9510869565217391,0.44571428571428573,-0.07667571223021521,-0.3105691056910569,-122.78571428571429,-21487.5,0.8168236648054218,-29770.0,-1.2781098605889047,-0.9892135695974317,0.5485714285714286,-0.06318102291492574,-0.09307432203107334,0.0,217.87428571428572,0.41714285714285715,0.10285714285714286,0.45714285714285713,ES,OR30m/cut1100/exit1559/2R/both/follow,30,11:00,15:59,2.0,both,OOS
361,516,0.6996124031007752,0.5069252077562327,0.008457151232897265,0.04285714285714286,0.44321329639889195,160.0,1.0012171234049028,-19467.5,0.005827656681105395,0.1671542654382235,1.0,0.008457151232897265,,0.0,48.988919667590025,0.3407202216066482,0.0,0.6592797783933518,ES,OR15m/cut1100/exit1100/TE/long/follow,15,11:00,11:00,none,long,full
226,332,0.6807228915662651,0.5132743362831859,0.030782392462745275,0.05472598522167488,25.265486725663717,5710.0,1.073963730569948,-11937.5,0.31644003715629504,0.4722397778231949,1.0,0.030782392462745275,,0.0,49.74778761061947,0.336283185840708,0.0,0.6637168141592921,ES,OR15m/cut1100/exit1100/TE/long/follow,15,11:00,11:00,none,long,IS
135,184,0.7336956521739131,0.4962962962962963,-0.028916956307440907,-0.002631578947368421,-41.111111111111114,-5550.0,0.8977099940100447,-15272.5,-0.5894596577223304,-0.3606190970831981,1.0,-0.028916956307440907,,0.0,47.71851851851852,0.34814814814814815,0.0,0.6518518518518519,ES,OR15m/cut1100/exit1100/TE/long/follow,15,11:00,11:00,none,long,OOS
344,516,0.6666666666666666,0.4186046511627907,-0.029996689631081222,-0.2365151515151515,-59.0406976744186,-20310.0,0.8604723057106054,-35812.5,-0.766174832463111,-0.5100806739760626,0.0,,-0.029996689631081222,0.0029069767441860465,46.81686046511628,0.37209302325581395,0.0,0.627906976744186,ES,OR15m/cut1100/exit1100/TE/short/follow,15,11:00,11:00,none,short,full
220,332,0.6626506024096386,0.43636363636363634,0.021278257930600054,-0.22948827901658092,-6.818181818181818,-1500.0,0.9818944446120885,-18887.5,-0.09188696114672486,0.27705203380670934,0.0,,0.021278257930600054,0.004545454545454545,47.36818181818182,0.35909090909090907,0.0,0.6409090909090909,ES,OR15m/cut1100/exit1100/TE/short/follow,15,11:00,11:00,none,short,IS
124,184,0.6739130434782609,0.3870967741935484,-0.12096837078890285,-0.34118738404452686,-151.69354838709677,-18810.0,0.7000717531690983,-31107.5,-1.8572664894334254,-1.3511276190781238,0.0,,-0.12096837078890285,0.0,45.83870967741935,0.3951612903225806,0.0,0.6048387096774194,ES,OR15m/cut1100/exit1100/TE/short/follow,15,11:00,11:00,none,short,OOS
361,516,0.6996124031007752,0.38227146814404434,0.013398961521748045,-1.0101694915254238,5.914127423822714,2135.0,1.011243795505115,-22422.5,0.05782932091668235,0.17834505787373026,1.0,0.013398961521748045,,0.0,198.05817174515235,0.5595567867036011,0.0,0.41274238227146814,ES,OR15m/cut1100/exit1559/TE/long/follow,15,11:00,15:59,none,long,full
226,332,0.6807228915662651,0.37610619469026546,0.049504148056603976,-1.0112738179251939,42.63274336283186,9635.0,1.0857950624429553,-13372.5,0.4116314815884464,0.5070489516531922,1.0,0.049504148056603976,,0.0,197.06194690265488,0.5707964601769911,0.0,0.3938053097345133,ES,OR15m/cut1100/exit1559/TE/long/follow,15,11:00,15:59,none,long,IS
135,184,0.7336956521739131,0.3925925925925926,-0.04704379519586265,-1.0093023255813953,-55.55555555555556,-7500.0,0.9033255993812839,-22422.5,-0.5545126125685472,-0.4017376220659768,1.0,-0.04704379519586265,,0.0,199.72592592592594,0.5407407407407407,0.0,0.4444444444444444,ES,OR15m/cut1100/exit1559/TE/long/follow,15,11:00,15:59,none,long,OOS
344,516,0.6666666666666666,0.34593023255813954,0.035941523719586234,-1.0106194690265486,12.79796511627907,4402.5,1.0216565209370965,-29535.0,0.09474456275453205,0.36789241413542856,0.0,,0.035941523719586234,0.0029069767441860465,185.61918604651163,0.5959302325581395,0.0,0.3866279069767442,ES,OR15m/cut1100/exit1559/TE/short/follow,15,11:00,15:59,none,short,full
220,332,0.6626506024096386,0.35454545454545455,0.10995848159324859,-1.0113746630727762,95.0,20900.0,1.1743591882703819,-26575.0,0.6622851280514129,0.837228933070917,0.0,,0.10995848159324859,0.004545454545454545,189.0818181818182,0.5954545454545455,0.0,0.38636363636363635,ES,OR15m/cut1100/exit1559/TE/short/follow,15,11:00,15:59,none,short,IS
124,184,0.6739130434782609,0.33064516129032256,-0.0953788854111051,-1.0098780487804877,-133.04435483870967,-16497.5,0.802235674898106,-29535.0,-1.1190137664685893,-0.6896092792733611,0.0,,-0.0953788854111051,0.0,179.4758064516129,0.5967741935483871,0.0,0.3870967741935484,ES,OR15m/cut1100/exit1559/TE/short/follow,15,11:00,15:59,none,short,OOS
302,516,0.5852713178294574,0.5596026490066225,0.03135071702300187,0.07206764866339334,15.960264900662251,4820.0,1.0532185050237386,-16267.5,0.21956638327855865,0.8263997896148486,1.0,0.03135071702300187,,0.0,45.049668874172184,0.1490066225165563,0.0,0.8509933774834437,ES,OR30m/cut1100/exit1100/TE/long/follow,30,11:00,11:00,none,long,full
189,332,0.5692771084337349,0.544973544973545,0.037322269679462214,0.05979381443298969,25.41005291005291,4802.5,1.0883584011774987,-13270.0,0.3383543753061838,0.7754278162811752,1.0,0.037322269679462214,,0.0,46.7989417989418,0.14814814814814814,0.0,0.8518518518518519,ES,OR30m/cut1100/exit1100/TE/long/follow,30,11:00,11:00,none,long,IS
113,184,0.6141304347826086,0.584070796460177,0.0213628988630815,0.09508196721311475,0.15486725663716813,17.5,1.0004831918271553,-6872.5,0.0022498184573958527,0.34512152257913925,1.0,0.0213628988630815,,0.0,42.123893805309734,0.1504424778761062,0.0,0.8495575221238938,ES,OR30m/cut1100/exit1100/TE/long/follow,30,11:00,11:00,none,long,OOS
269,516,0.5213178294573644,0.44981412639405205,-0.0051163430766729264,-0.048484848484848485,-22.806691449814128,-6135.0,0.9357473882648653,-18617.5,-0.2891704313510971,-0.10268435243987124,0.0,,-0.0051163430766729264,0.0,43.01115241635688,0.17472118959107807,0.0,0.8252788104089219,ES,OR30m/cut1100/exit1100/TE/short/follow,30,11:00,11:00,none,short,full
174,332,0.5240963855421686,0.47701149425287354,0.04151895913224653,-0.038089584457636265,36.077586206896555,6277.5,1.1177988365547007,-6737.5,0.48102382280699857,0.6300758200033506,0.0,,0.04151895913224653,0.0,44.12068965517241,0.16091954022988506,0.0,0.8390804597701149,ES,OR30m/cut1100/exit1100/TE/short/follow,30,11:00,11:00,none,short,IS
95,184,0.5163043478260869,0.4,-0.09053258080669378,-0.05473684210526316,-130.6578947368421,-12412.5,0.7058126444273272,-18617.5,-1.5301618197906879,-1.2452907565908125,0.0,,-0.09053258080669378,0.0,40.97894736842105,0.2,0.0,0.8,ES,OR30m/cut1100/exit1100/TE/short/follow,30,11:00,11:00,none,short,OOS
302,516,0.5852713178294574,0.45364238410596025,-0.006575400335259546,-0.3450873039360758,-29.403973509933774,-8880.0,0.9491590925356044,-27287.5,-0.25672926508257693,-0.09988567228225186,1.0,-0.006575400335259546,,0.0,237.36754966887418,0.44370860927152317,0.0,0.5231788079470199,ES,OR30m/cut1100/exit1559/TE/long/follow,30,11:00,15:59,none,long,full
189,332,0.5692771084337349,0.455026455026455,0.05115658086432982,-0.3580645161290323,27.98941798941799,5290.0,1.0511197545478703,-18580.0,0.2424284862508663,0.577463826588627,1.0,0.05115658086432982,,0.0,237.3862433862434,0.4603174603174603,0.0,0.4973544973544973,ES,OR30m/cut1100/exit1559/TE/long/follow,30,11:00,15:59,none,long,IS
113,184,0.6141304347826086,0.45132743362831856,-0.10313597066023639,-0.3105691056910569,-125.39823008849558,-14170.0,0.8009272267490868,-20120.0,-1.1104325479159298,-1.0896195478884654,1.0,-0.10313597066023639,,0.0,237.3362831858407,0.415929203539823,0.0,0.5663716814159292,ES,OR30m/cut1100/exit1559/TE/long/follow,30,11:00,15:59,none,long,OOS
269,516,0.5213178294573644,0.38661710037174724,0.03636996523435786,-0.6364963503649635,14.78624535315985,3977.5,1.0225865985235663,-22415.0,0.08901990140373013,0.4046700483949608,0.0,,0.03636996523435786,0.0,226.8624535315985,0.4758364312267658,0.0,0.5018587360594795,ES,OR30m/cut1100/exit1559/TE/short/follow,30,11:00,15:59,none,short,full
174,332,0.5240963855421686,0.3793103448275862,0.11961181306164552,-0.6442898418491485,128.17528735632183,22302.5,1.211910304527531,-21130.0,0.7244554394418615,0.9655444730967906,0.0,,0.11961181306164552,0.0,229.82758620689654,0.4827586206896552,0.0,0.5,ES,OR30m/cut1100/exit1559/TE/short/follow,30,11:00,15:59,none,short,IS
95,184,0.5163043478260869,0.4,-0.11609405078614791,-0.5953125,-192.89473684210526,-18325.0,0.7413732270129137,-22415.0,-1.3456393128590793,-1.0144012779142857,0.0,,-0.11609405078614791,0.0,221.43157894736842,0.4631578947368421,0.0,0.5052631578947369,ES,OR30m/cut1100/exit1559/TE/short/follow,30,11:00,15:59,none,short,OOS
