trades,sessions,win_rate,avg_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,t_stat_r,leg,filter,split,config
65,65.0,0.47692307692307695,0.04719868996400953,64.42307692307692,4187.5,1.1831802274715661,-4717.5,0.3526878497738663,ES,dow_Thu,IS,OR15m/cut1100/exit1100/TE/both/follow
37,37.0,0.35135135135135137,-0.048301433319130394,-110.27027027027027,-4080.0,0.8026363526423993,-10660.0,-0.24617692152728693,ES,dow_Thu,OOS,OR15m/cut1100/exit1100/TE/both/follow
101,102.0,0.43564356435643564,-0.01712482952796784,-106.95544554455445,-10802.5,0.7825036492676297,-16477.5,-0.14968540766566754,ES,dow_Fri,full,OR15m/cut1100/exit1100/TE/both/follow
65,66.0,0.5076923076923077,0.1670098327662923,40.57692307692308,2637.5,1.095630891950689,-7685.0,1.0962470727882505,ES,dow_Fri,IS,OR15m/cut1100/exit1100/TE/both/follow
36,36.0,0.3055555555555556,-0.34959019200371516,-373.3333333333333,-13440.0,0.39151103565365025,-13912.5,-2.286269858134487,ES,dow_Fri,OOS,OR15m/cut1100/exit1100/TE/both/follow
514,516.0,0.3715953307392996,0.007427327687854136,-32.704280155642024,-16810.0,0.94291923462198,-57612.5,0.10928303112902604,ES,(none),full,OR15m/cut1100/exit1559/TE/both/follow
330,332.0,0.37272727272727274,0.03226520671498973,8.712121212121213,2875.0,1.016337083759518,-44370.0,0.3763517335879607,ES,(none),IS,OR15m/cut1100/exit1559/TE/both/follow
184,184.0,0.3695652173913043,-0.037118868393421656,-106.9836956521739,-19685.0,0.8339028814917943,-34420.0,-0.3325811794134434,ES,(none),OOS,OR15m/cut1100/exit1559/TE/both/follow
135,136.0,0.28888888888888886,-0.1502426381207505,-93.70370370370371,-12650.0,0.7648808140885647,-14440.0,-1.136583833315066,ES,or_width_rel_narrow,full,OR15m/cut1100/exit1559/TE/both/follow
75,76.0,0.25333333333333335,-0.24853392339978014,-144.5,-10837.5,0.6164056278205469,-14440.0,-1.4387215657104142,ES,or_width_rel_narrow,IS,OR15m/cut1100/exit1559/TE/both/follow
