leg,config,slip_ticks,commission,trades,total_usd,expectancy_usd,avg_pts,profit_factor,win_rate
ES,OR30m/cut1100/exit1559/TE/both,2.0,no,491,-22662.5,-46.15580448065173,-0.9231160896130346,0.9264741665990753,0.4195519348268839
ES,OR30m/cut1100/exit1559/TE/both,2.0,yes,491,-23890.0,-48.65580448065173,-0.9231160896130346,0.9226704430507788,0.4195519348268839
MNQ,OR15m/cut1100/exit1100/TE/both,0.0,no,4084,5481.0,1.3420666013712046,0.6710333006856023,1.0407691163344244,0.47820763956904994
MNQ,OR15m/cut1100/exit1100/TE/both,0.0,yes,4084,1233.6400000000062,0.3020666013712062,0.6710333006856023,1.0090264245571665,0.46841332027424093
MNQ,OR15m/cut1100/exit1100/TE/both,0.5,no,4084,3439.0,0.8420666013712047,0.42103330068560235,1.0253790436550545,0.4723310479921645
MNQ,OR15m/cut1100/exit1100/TE/both,0.5,yes,4084,-808.3599999999956,-0.19793339862879422,0.42103330068560235,0.9941319459920673,0.4640058765915769
MNQ,OR15m/cut1100/exit1100/TE/both,1.0,no,4084,1397.0,0.3420666013712047,0.17103330068560235,1.0102282128815445,0.46841332027424093
MNQ,OR15m/cut1100/exit1100/TE/both,1.0,yes,4084,-2850.3599999999947,-0.697933398628794,0.17103330068560235,0.9794718552189496,0.4593535749265426
MNQ,OR15m/cut1100/exit1100/TE/both,2.0,no,4084,-2687.0,-0.6579333986287953,-0.32896669931439765,0.9806360485143735,0.4593535749265426
MNQ,OR15m/cut1100/exit1100/TE/both,2.0,yes,4084,-6934.359999999994,-1.6979333986287939,-0.32896669931439765,0.9508447822042115,0.45102840352595497
MNQ,OR15m/cut1100/exit1559/TE/both,0.0,no,4084,18276.5,4.4751469147894225,2.2375734573947113,1.0908824194867741,0.3780607247796278
MNQ,OR15m/cut1100/exit1559/TE/both,0.0,yes,4084,14029.140000000018,3.4351469147894265,2.2375734573947113,1.0688567566018192,0.37659157688540645
MNQ,OR15m/cut1100/exit1559/TE/both,0.5,no,4084,16234.5,3.975146914789422,1.987573457394711,1.0802216726252096,0.37732615083251714
MNQ,OR15m/cut1100/exit1559/TE/both,0.5,yes,4084,11987.140000000018,2.9351469147894265,1.987573457394711,1.0584689936017027,0.3753672869735553
MNQ,OR15m/cut1100/exit1559/TE/both,1.0,no,4084,14192.5,3.475146914789422,1.737573457394711,1.069693383486707,0.37659157688540645
MNQ,OR15m/cut1100/exit1559/TE/both,1.0,yes,4084,9945.140000000014,2.4351469147894256,1.737573457394711,1.048208870559381,0.37414299706170423
MNQ,OR15m/cut1100/exit1559/TE/both,2.0,no,4084,10108.5,2.475146914789422,1.237573457394711,1.049025052075629,0.37414299706170423
MNQ,OR15m/cut1100/exit1559/TE/both,2.0,yes,4084,5861.140000000015,1.4351469147894258,1.237573457394711,1.0280633522345863,0.3702252693437806
MNQ,OR30m/cut1100/exit1100/TE/both,0.0,no,3825,5567.0,1.4554248366013072,0.7277124183006536,1.0534602217346003,0.5084967320261438
MNQ,OR30m/cut1100/exit1100/TE/both,0.0,yes,3825,1589.000000000005,0.4154248366013085,0.7277124183006536,1.0149755989155744,0.4938562091503268
MNQ,OR30m/cut1100/exit1100/TE/both,0.5,no,3825,3654.5,0.9554248366013072,0.4777124183006536,1.0347804156138323,0.5006535947712418
MNQ,OR30m/cut1100/exit1100/TE/both,0.5,yes,3825,-323.49999999999454,-0.08457516339869138,0.4777124183006536,0.9969787470027957,0.4883660130718954
MNQ,OR30m/cut1100/exit1100/TE/both,1.0,no,3825,1742.0,0.45542483660130717,0.22771241830065359,1.0164295448865164,0.4938562091503268
MNQ,OR30m/cut1100/exit1100/TE/both,1.0,yes,3825,-2235.9999999999945,-0.5845751633986914,0.22771241830065359,0.9793066506351823,0.4833986928104575
MNQ,OR30m/cut1100/exit1100/TE/both,2.0,no,3825,-2083.0,-0.5445751633986928,-0.2722875816993464,0.9807084973373467,0.4833986928104575
MNQ,OR30m/cut1100/exit1100/TE/both,2.0,yes,3825,-6060.9999999999945,-1.5845751633986913,-0.2722875816993464,0.9449222213801377,0.47137254901960784
MNQ,OR30m/cut1100/exit1559/TE/both,0.0,no,3825,23615.0,6.173856209150327,3.0869281045751635,1.1214023344823243,0.4392156862745098
MNQ,OR30m/cut1100/exit1559/TE/both,0.0,yes,3825,19637.000000000022,5.133856209150332,3.0869281045751635,1.099805745501194,0.4366013071895425
MNQ,OR30m/cut1100/exit1559/TE/both,0.5,no,3825,21702.5,5.673856209150327,2.8369281045751635,1.1109585819388417,0.43790849673202614
MNQ,OR30m/cut1100/exit1559/TE/both,0.5,yes,3825,17724.50000000002,4.6338562091503315,2.8369281045751635,1.0895946467141722,0.43529411764705883
MNQ,OR30m/cut1100/exit1559/TE/both,1.0,no,3825,19790.0,5.173856209150327,2.5869281045751635,1.1006274597541008,0.4366013071895425
MNQ,OR30m/cut1100/exit1559/TE/both,1.0,yes,3825,15812.000000000018,4.1338562091503315,2.5869281045751635,1.079493150226268,0.43320261437908497
MNQ,OR30m/cut1100/exit1559/TE/both,2.0,no,3825,15965.0,4.173856209150327,2.0869281045751635,1.0802973491564125,0.43320261437908497
MNQ,OR30m/cut1100/exit1559/TE/both,2.0,yes,3825,11987.000000000016,3.133856209150331,2.0869281045751635,1.0596118856959622,0.4277124183006536
