direction,streak,horizon,n,mean_bps,win_rate,base_bps,excess_bps,t_vs_base
down,11,20,7228,45.86725736793841,0.5012451577199779,86.43639031917714,-40.56913295123872,-1.4257200220237292
down,12,20,6934,43.857013653646696,0.502307470435535,86.43639031917714,-42.57937666553043,-1.2241997255041799
up,2,1,7612399,-4.722248780106547,0.4556957668666606,7.285676182811712,-12.007924962918258,-79.08322509992969
up,3,1,3470122,2.544067220415975,0.4723127890028074,7.285676182811712,-4.741608962395737,-22.488385688205017
up,4,1,1639366,2.937300118906907,0.4785490244399359,7.285676182811712,-4.348376063904805,-14.828074293567893
up,5,1,784488,2.8182573565331417,0.4853942953875649,7.285676182811712,-4.46741882627857,-10.753524283964115
up,6,1,380792,-0.8935526228908396,0.47977373474232654,7.285676182811712,-8.179228805702552,-13.92503715007614
up,7,1,182634,-2.5897564324026376,0.4817503860179375,7.285676182811712,-9.875432615214349,-12.267557745217218
up,8,1,87950,-2.2188129968396217,0.49038089823763503,7.285676182811712,-9.504489179651333,-7.788536239572399
up,9,1,43132,-4.843069771545547,0.48989149587313363,7.285676182811712,-12.12874595435726,-7.696449789589582
up,10,1,21132,-5.883175644827672,0.4879329926178308,7.285676182811712,-13.168851827639383,-5.909658730631276
up,11,1,10306,3.181837186679699,0.519600232874054,7.285676182811712,-4.103838996132013,-1.2737012735834352
up,12,1,11904,-0.7562995956519376,0.5506552419354839,7.285676182811712,-8.04197577846365,-2.5976470241446026
up,2,3,7606533,4.043288177102502,0.4796093042651626,16.759968482988437,-12.716680305885935,-51.99560549197763
up,3,3,3467526,8.207699337603627,0.49089091184896666,16.759968482988437,-8.552269145384813,-24.658961767137967
up,4,3,1637941,4.4720961883504895,0.49545984867586806,16.759968482988437,-12.28787229463795,-25.43044878127087
up,5,3,783817,-2.2625943031341578,0.4930500359139952,16.759968482988437,-19.0225627861226,-27.868651648012303
up,6,3,380463,-11.873262571072745,0.4923606237663058,16.759968482988437,-28.633231054061184,-29.888288160358414
up,7,3,182475,-9.08257826493977,0.49932867516098095,16.759968482988437,-25.842546747928207,-19.161246236005955
up,8,3,87873,-8.932907181880696,0.5017809793679515,16.759968482988437,-25.692875664869135,-13.477950733061823
up,9,3,43075,-14.747139410328547,0.501056297156123,16.759968482988437,-31.50710789331698,-12.366797059632976
up,10,3,21111,-11.712277755782152,0.5212448486570982,16.759968482988437,-28.47224623877059,-7.501756907288433
up,11,3,10299,0.3658054987524582,0.5463637246334596,16.759968482988437,-16.39416298423598,-3.0922264571791303
up,12,3,11895,-21.826717512133754,0.571584699453552,16.759968482988437,-38.586685995122195,-7.409817118623493
up,2,5,7600743,10.168281045556368,0.4896022665152604,25.50154176363828,-15.333260718081911,-49.98672513656126
up,3,5,3464975,10.312402110762083,0.4980359165650546,25.50154176363828,-15.189139652876197,-34.94402472043805
up,4,5,1636256,4.798509450358537,0.5005237566737724,25.50154176363828,-20.703032313279742,-34.12792104989265
up,5,5,782977,-1.7231868569064375,0.5028410796230285,25.50154176363828,-27.224728620544717,-32.335814968331555
up,6,5,379979,-8.516125529019616,0.5037831038031049,25.50154176363828,-34.0176672926579,-28.763066290893455
up,7,5,182297,-5.726882614304446,0.5118515389721169,25.50154176363828,-31.228424377942723,-18.7608670938835
up,8,5,87796,-5.2060199955006805,0.5220511185019818,25.50154176363828,-30.707561759138958,-12.903985464199323
up,9,5,43052,-3.6499008339270214,0.5294295270835269,25.50154176363828,-29.1514425975653,-9.039416467164294
up,10,5,21097,-10.433994419859907,0.5402663885860549,25.50154176363828,-35.935536183498186,-7.792713855176567
up,11,5,10291,-1.9154861403625987,0.5426100476144203,25.50154176363828,-27.41702790400088,-4.050280074455846
up,12,5,11881,-22.87912307161866,0.5779816513761468,25.50154176363828,-48.38066483525694,-7.547357480242867
up,2,10,7586609,27.75372273999868,0.5064331112885876,45.95939443044815,-18.205671690449467,-43.450412059585915
up,3,10,3459240,29.42465043118248,0.5147688509614828,45.95939443044815,-16.534743999265665,-27.987144538269362
up,4,10,1633828,23.885167467495254,0.5207720763752366,45.95939443044815,-22.074226962952892,-26.776211882816803
up,5,10,781817,21.437087196919737,0.5256434689959415,45.95939443044815,-24.52230723352841,-21.359476169209817
up,6,10,379380,15.275369318488526,0.5277716273920607,45.95939443044815,-30.68402511195962,-19.23872858854495
up,7,10,182011,23.011224139293155,0.5358796995785969,45.95939443044815,-22.948170291154995,-10.238008805438414
up,8,10,87669,22.049453197826082,0.5390046652750687,45.95939443044815,-23.909941232622064,-7.46284245492645
up,9,10,42976,18.224598466467054,0.5430007446016382,45.95939443044815,-27.734795963981096,-6.385601693687352
up,10,10,21059,10.830626801777512,0.5464172087943397,45.95939443044815,-35.12876762867064,-5.464703099852909
